year,growth_rate,precip_prev,totalPrecip_prev,logval_prev
1981,-0.20106514369306416,24,1000.2078965656978,2.1335389083702174
1982,-0.22918238655849188,15,819.9904219046416,1.9324737646771533
1983,-0.34535653111820763,25,1027.9659276413718,1.7032913781186614
1984,0.10446315089850232,14,814.0783342599782,1.3579348470004535
1985,-0.32885908952873866,24,929.3736575197933,1.462397997898956
1986,0.1383026981662816,24,917.0742790707676,1.1335389083702174
1987,0.36364214027841313,26,956.7089529469896,1.271841606536499
1988,0.06694678963061307,27,963.6371807061436,1.6354837468149122
1989,0.24155833862824672,29,1035.9512822814168,1.7024305364455252
1990,-0.19040581618086527,21,902.7546450818136,1.943988875073772
1991,0.1500494571913309,22,734.5606182634548,1.7535830588929069
1992,-0.11546414494306978,17,661.4265840441362,1.9036325160842376
1993,-0.05819408544161209,14,767.7022491369598,1.7881683711411678
1994,-0.45813267916305667,18,806.7560557322473,1.7299742856995557
1995,-0.07318451958207639,29,984.9269349862196,1.271841606536499
1996,0.2078830934795326,9,546.5594764256139,1.1986570869544226
1997,0.16516865137473236,22,808.4548006768841,1.4065401804339552
1998,-0.10336150139653032,18,833.7171702917772,1.5717088318086876
1999,0.294331233315279,28,1056.3656460893149,1.4683473304121573
2000,-0.3093602236803985,33,1073.2454568332628,1.7626785637274365
2001,0.18914618019508356,28,1129.9205129453185,1.4533183400470375
2002,-0.12263652646640244,18,892.0201091912041,1.6424645202421213
2003,-0.29711152262813556,20,814.9041657105691,1.5198279937757189
2004,0.21344617589317272,15,778.2838611633381,1.2227164711475833
2005,-0.11394335230683672,26,932.3095733355408,1.436162647040756
2006,-0.20827594242708256,24,856.4685451820537,1.3222192947339193
2007,0.592774430029922,33,1151.753289226292,1.1139433523068367
2008,-0.4256844150890311,33,1034.7179581949035,1.7067177823367587
2009,0.34633248934500505,20,875.7871418428635,1.2810333672477277
2010,-0.13740737716789808,16,900.2439431875473,1.6273658565927327
2011,0.06754872248082333,20,891.8478126352625,1.4899584794248346
2012,0.02682402246187276,29,1056.1039057392882,1.557507201905658
2013,-0.2498774732165998,21,969.7988930045652,1.5843312243675307
2014,-0.29306106599270576,27,1022.758819347473,1.334453751150931
2015,0.5076105768675627,30,1169.9072870360928,1.0413926851582251
2016,-0.7636734270150208,23,918.353958616251,1.549003262025788
2017,0.1440890907035257,12,710.093520613043,0.785329835010767
2018,0.31855434064751387,25,854.4761537069121,0.9294189257142929
